date,month_year,average_price,total_volume,total_bags,small_bags,large_bags,xlarge_bags,type,month,year,geography
1/4/2015,2015-01,1.22,40873.28,9716.46,9186.93,529.53,0,conventional,1,2015,Albany
1/4/2015,2015-01,1.79,1373.95,1162.65,1162.65,0,0,organic,1,2015,Albany
1/4/2015,2015-01,1,435021.49,46815.79,16707.15,30108.64,0,conventional,1,2015,Atlanta
1/4/2015,2015-01,1.76,3846.69,1408.19,1071.35,336.84,0,organic,1,2015,Atlanta
1/4/2015,2015-01,1.08,788025.06,141136.68,137146.07,3990.61,0,conventional,1,2015,Baltimore/Washington
1/4/2015,2015-01,1.29,19137.28,3881.69,3881.69,0,0,organic,1,2015,Baltimore/Washington
1/4/2015,2015-01,1.01,80034.32,7755.62,6064.3,1691.32,0,conventional,1,2015,Boise
1/4/2015,2015-01,1.64,1505.12,374.35,186.67,187.68,0,organic,1,2015,Boise
1/4/2015,2015-01,1.02,491738,87663.13,87406.84,256.29,0,conventional,1,2015,Boston
1/4/2015,2015-01,1.83,2192.13,1244.04,1244.04,0,0,organic,1,2015,Boston
1/4/2015,2015-01,1.4,116253.44,57182.88,57182.88,0,0,conventional,1,2015,Buffalo/Rochester
1/4/2015,2015-01,1.73,379.82,320,320,0,0,organic,1,2015,Buffalo/Rochester
1/4/2015,2015-01,0.93,5777334.9,528451.74,477193.38,47882.56,3375.8,conventional,1,2015,California
1/4/2015,2015-01,1.24,142349.77,9144.15,9144.15,0,0,organic,1,2015,California
1/4/2015,2015-01,1.19,166006.29,50797.56,44329.03,6468.53,0,conventional,1,2015,Charlotte
1/4/2015,2015-01,2.13,2965.62,1025.63,1025.63,0,0,organic,1,2015,Charlotte
1/4/2015,2015-01,1.11,783068.03,77539.48,72888.46,4651.02,0,conventional,1,2015,Chicago
1/4/2015,2015-01,1.49,17723.17,905.55,905.55,0,0,organic,1,2015,Chicago
1/4/2015,2015-01,0.88,228569.58,55083.44,17525.31,37445.46,112.67,conventional,1,2015,Cincinnati/Dayton
1/4/2015,2015-01,1.34,8764.33,1698.11,585.96,1112.15,0,organic,1,2015,Cincinnati/Dayton
1/4/2015,2015-01,0.89,158638.04,18869.56,16518.15,2132.21,219.2,conventional,1,2015,Columbus
1/4/2015,2015-01,1.44,3930.94,1140.08,444.17,695.91,0,organic,1,2015,Columbus
